iter	Passed	Remaining
0	0	97
1	1	83
2	2	91
3	3	79
4	3	74
5	4	71
6	5	70
7	5	68
8	6	67
9	7	66
10	8	65
11	9	66
12	10	68
13	10	67
14	11	65
15	12	64
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	17	60
22	17	59
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	29	43
41	30	41
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	37	34
52	38	33
53	38	33
54	39	32
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	67	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
